Algoritmo,Version,n,Tiempo_ms
Factorial,Iterativo,5,0.067190
Factorial,Iterativo,10,0.012532
Factorial,Iterativo,15,0.021221
Factorial,Iterativo,20,0.020784
Factorial,Iterativo,25,0.020074
Factorial,Iterativo,30,0.013959
Factorial,Recursivo,5,0.005067
Factorial,Recursivo,10,0.003583
Factorial,Recursivo,15,0.006002
Factorial,Recursivo,20,0.008215
Factorial,Recursivo,25,0.018506
Factorial,Recursivo,30,0.007892
Fibonacci,Iterativo,5,0.071476
Fibonacci,Iterativo,10,0.000796
Fibonacci,Iterativo,15,0.000611
Fibonacci,Iterativo,20,0.000664
Fibonacci,Iterativo,25,0.001180
Fibonacci,Iterativo,30,0.000786
Fibonacci,Recursivo,5,0.001834
Fibonacci,Recursivo,10,0.016590
Fibonacci,Recursivo,15,0.015137
Fibonacci,Recursivo,20,0.082445
Fibonacci,Recursivo,25,0.487386
Fibonacci,Recursivo,30,4.462104
Busqueda,Iterativo,100,0.058136
Busqueda,Iterativo,500,0.003416
Busqueda,Iterativo,1000,0.006572
Busqueda,Iterativo,5000,0.031206
Busqueda,Iterativo,10000,0.062135
Busqueda,Recursivo,100,0.004329
Busqueda,Recursivo,500,0.007615
Busqueda,Recursivo,1000,0.003054
Busqueda,Recursivo,5000,0.000470
Busqueda,Recursivo,10000,0.010337
Burbuja,Iterativo,100,0.176870
Burbuja,Iterativo,500,0.890050
Burbuja,Iterativo,1000,1.220476
Burbuja,Iterativo,5000,21.956009
Burbuja,Iterativo,10000,126.540641
Burbuja,Recursivo,100,0.060711
Burbuja,Recursivo,500,0.638125
Burbuja,Recursivo,1000,0.896291
Burbuja,Recursivo,5000,21.496421
Burbuja,Recursivo,10000,104.925373
